t1,T1,t2,T2
610,395.2416852,610,397.3295382
611,395.3418501,611,397.4319315
612,395.4416066,612,397.5342018
613,395.541589,613,397.6363493
614,395.6409731,614,397.7383742
615,395.7407252,615,397.8402767
616,395.8400416,616,397.9420569
617,395.9393776,617,398.043715
618,396.0384446,618,398.1452512
619,396.1376587,619,398.2466657
620,396.2363028,620,398.3479586
621,396.3353605,621,398.4491302
622,396.4339775,622,398.5501805
623,396.5326231,623,398.6511098
624,396.6310193,624,398.7519183
625,396.7295754,625,398.8526061
626,396.8276201,626,398.9531734
627,396.9259782,627,399.0536203
628,397.0239039,628,399.1539472
629,397.1218607,629,399.254154
630,397.2195825,630,399.354241
631,397.3175359,631,399.4542084
632,397.4148068,632,399.5540564
633,397.5124336,633,399.653785
634,397.6096077,634,399.7533946
635,397.7069397,635,399.8528852
636,397.8038752,636,399.9522571
637,397.9009798,637,400.0515104
638,397.9975862,638,400.1506453
639,398.0939926,639,400.2496619
640,398.1906152,640,400.3485605
641,398.2867912,641,400.4473412
642,398.382803,642,400.5460042
643,398.4789122,643,400.6445495
644,398.5745276,644,400.7429775
645,398.6708232,645,400.8412883
646,398.7668412,646,400.939482
647,398.862584,647,401.0375587
648,398.9581287,648,401.1355187
649,399.0537514,649,401.233362
650,399.1488657,650,401.3310889
651,399.2443266,651,401.4286994
652,399.3394815,652,401.5261938
653,399.4346149,653,401.6235721
654,399.5294553,654,401.7208346
655,399.6243816,655,401.8179813
656,399.7188963,656,401.9150125
657,399.8137229,657,402.0119283
658,399.9081295,658,402.1087289
659,400.0024984,659,402.2054144
660,400.0968329,660,402.301985
661,400.1912242,661,402.3984409
662,400.285272,662,402.4947822
663,400.379235,663,402.591009
664,400.4730631,664,402.6871216
665,400.5668934,665,402.7831202
666,400.6604091,666,402.8790048
667,400.7540161,667,402.9747756
668,400.8474745,668,403.0704329
669,400.9411008,669,403.1659768
670,401.0342469,670,403.2614074
671,401.1272771,671,403.356725
672,401.2201603,672,403.4519296
673,401.3133428,673,403.5470216
674,401.4061826,674,403.6420009
675,401.4988557,675,403.7368678
676,401.5913803,676,403.8316226
677,401.6840187,677,403.9262652
678,401.7763456,678,404.020796
679,401.8685752,679,404.115215
680,401.960679,680,404.2095225
681,402.0529856,681,404.3037186
682,402.1448593,682,404.3978034
683,402.2366152,683,404.4917772
684,402.3283376,684,404.5856401
685,402.4200775,685,404.6793923
686,402.5117117,686,404.7730339
687,402.6031797,687,404.8665652
688,402.6942872,688,404.9599862
689,402.7856818,689,405.0532971
690,402.8767899,690,405.1464981
691,402.9676539,691,405.2395894
692,403.0584675,692,405.3325711
693,403.1493592,693,405.4254433
694,403.2400373,694,405.5182063
695,403.3306312,695,405.6108602
696,403.4210104,696,405.7034052
697,403.5114916,697,405.7958413
698,403.6017878,698,405.8881689
699,403.691785,699,405.9803879
700,403.7819561,700,406.0724986
701,403.871932,701,406.1645012
702,403.9619567,702,406.2563957
703,404.0515767,703,406.3481824
704,404.1412614,704,406.4398613
705,404.2309557,705,406.5314327
706,404.3205174,706,406.6228967
707,404.4096115,707,406.7142535
708,404.4988356,708,406.8055031
709,404.588011,709,406.8966458
710,404.6773105,710,406.9876817
711,404.7660649,711,407.078611
712,404.8548984,712,407.1694338
713,404.943555,713,407.2601502
714,405.0323117,714,407.3507604
715,405.1205319,715,407.4412647
716,405.2089954,716,407.531663
717,405.2973369,717,407.6219556
718,405.3857058,718,407.7121426
719,405.4737383,719,407.8022241
720,405.5618559,720,407.8922004
721,405.6497965,721,407.9820715
722,405.7376792,722,408.0718376
723,405.8250457,723,408.1614989
724,405.9126661,724,408.2510554
725,406.0001424,725,408.3405074
726,406.0877048,726,408.4298549
727,406.1748543,727,408.5190982
728,406.2621043,728,408.6082373
729,406.3491646,729,408.6972724
730,406.4363727,730,408.7862037
731,406.5229416,731,408.8750313
732,406.6097667,732,408.9637554
733,406.6963214,733,409.052376
734,406.7831361,734,409.1408933
735,406.8695672,735,409.2293075
736,406.9559209,736,409.3176187
737,407.0422111,737,409.405827
738,407.1283862,738,409.4939326
739,407.2143512,739,409.5819356
740,407.3002723,740,409.6698362
741,407.3861364,741,409.7576345
742,407.4721759,742,409.8453307
743,407.557825,743,409.9329248
744,407.6435372,744,410.020417
745,407.7293805,745,410.1078075
746,407.815016,746,410.1950964
747,407.9000533,747,410.2822838
748,407.9854151,748,410.36937
749,408.0706084,749,410.4563549
750,408.1557004,750,410.5432387
751,408.240512,751,410.6300217
752,408.3253383,752,410.7167039
753,408.410239,753,410.8032855
754,408.4949184,754,410.8897666
755,408.5791329,755,410.9761473
756,408.6636368,756,411.0624279
757,408.7482211,757,411.1486386
758,408.8323896,758,411.2347908
759,408.9163579,759,411.3207785
760,409.0004412,760,411.4066591
761,409.0844584,761,411.4924407
762,409.1684277,762,411.5781237
763,409.2519406,763,411.6637078
764,409.3357199,764,411.7491927
765,409.4191912,765,411.8345785
766,409.5028414,766,411.9198652
767,409.5863006,767,412.0050529
768,409.6696677,768,412.0901419
769,409.7528925,769,412.1751323
770,409.8360865,770,412.2600244
771,409.918871,771,412.3448182
772,410.0017776,772,412.4295141
773,410.0845507,773,412.514112
774,410.1674883,774,412.5986122
775,410.2499543,775,412.6830148
776,410.3324193,776,412.76732
777,410.4149013,777,412.8515278
778,410.4973186,778,412.9356386
779,410.5793285,779,413.0196523
780,410.661539,780,413.103569
781,410.7434376,781,413.1873891
782,410.825448,782,413.2711125
783,410.9072143,783,413.3547394
784,410.9890621,784,413.4382699
785,411.0708766,785,413.5217041
786,411.1526256,786,413.6050422
787,411.2338589,787,413.6882843
788,411.3152518,788,413.7714306
789,411.3966166,789,413.8544811
790,411.4780494,790,413.9374359
791,411.5591114,791,414.0202953
792,411.6401241,792,414.1030593
793,411.7210469,793,414.1857281
794,411.8020046,794,414.2683017
795,411.8824714,795,414.3507803
796,411.9630101,796,414.4331641
797,412.0434442,797,414.5154532
798,412.1240373,798,414.5976476
799,412.2041313,799,414.6797476
800,412.2843163,800,414.7617532
801,412.3645485,801,414.8436646
802,412.4448192,802,414.9254819
803,412.5248914,803,415.0072334
804,412.6047083,804,415.0889308
805,412.6847511,805,415.170501
806,412.7647743,806,415.2520387
807,412.8440994,807,415.333461
808,412.9235768,808,415.4147229
809,413.0030443,809,415.4958851
810,413.082974,810,415.576983
811,413.1623565,811,415.6580566
812,413.2417536,812,415.7390428
813,413.3205623,813,415.819907
814,413.3995244,814,415.9006111
815,413.4783624,815,415.9812159
816,413.5572114,816,416.0617291
817,413.6358859,817,416.1421504
818,413.7146446,818,416.2224792
819,413.7929408,819,416.3027151
820,413.8713256,820,416.3828583
821,413.9496173,821,416.4629089
822,414.0281088,822,416.5428672
823,414.1065611,823,416.6227609
824,414.1849982,824,416.7026297
825,414.2631653,825,416.7824125
826,414.341007,826,416.8620759
827,414.418824,827,416.9416093
828,414.4968442,828,417.0211127
829,414.5742358,829,417.100505
830,414.6518996,830,417.1797415
831,414.7292494,831,417.2588808
832,414.8069332,832,417.3379572
833,414.8842496,833,417.4170099
834,414.9617678,834,417.4959775
835,415.0388076,835,417.5748535
836,415.1160694,836,417.6536384
837,415.1926248,837,417.7323062
838,415.2694583,838,417.8108195
839,415.3460301,839,417.8892369
840,415.4227734,840,417.9675654
841,415.4993015,841,418.0458048
842,415.5758282,842,418.1239542
843,415.6521593,843,418.2020135
844,415.728541,844,418.2799827
845,415.8048503,845,418.3578621
846,415.8811824,846,418.435652
847,415.9572931,847,418.5133527
848,416.0335263,848,418.5909645
849,416.1094905,849,418.6684876
850,416.1853514,850,418.7459223
851,416.2614908,851,418.8232952
852,416.3372582,852,418.900618
853,416.4128324,853,418.9777948
854,416.4884614,854,419.0548772
855,416.5637023,855,419.1318722
856,416.6390572,856,419.2087805
857,416.7142667,857,419.2856016
858,416.7895377,858,419.3623354
859,416.8644119,859,419.4389818
860,416.9397193,860,419.5155409
861,417.0147017,861,419.5920129
862,417.0897091,862,419.6683978
863,417.1644306,863,419.7446958
864,417.2392263,864,419.8209072
865,417.3137351,865,419.8970319
866,417.3883618,866,419.9730702
867,417.4626649,867,420.0490222
868,417.5371008,868,420.124888
869,417.6112942,869,420.2006678
870,417.6858739,870,420.2763872
